ZONE;FRACTIE;DATUM;HOEVEELHEI;id;area;perim;sector;latWGS84;loWGS84;Aangemaakt op
sector 2;PMD;20180531;0;2;6480903.849452000111341;10124.473470000000816;sector 2;51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635;3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446;22/10/2018
sector 7;RF;20180507;0;7;10037409.953020000830293;12522.840969999999288;sector 7;51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527,51.19222244145527;3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082,3.1598558911573082;22/10/2018
sector 6;RF;20180510;0;6;11210667.754679000005126;15076.788608999999269;sector 6;51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109;3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908;22/10/2018
sector 5;PK;20180524;0;5;14071494.228935999795794;17076.677483999999822;sector 5;51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814,51.15840925941814;3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216,3.1431919921277216;22/10/2018
sector 9;RF;20180515;0;9;1465261.789596999995410;7640.365179999999782;sector 9;51.323002987418974,51.323002987418974,51.323002987418974,51.323002987418974,51.323002987418974,51.323002987418974,51.323002987418974;3.1602791536497583,3.1602791536497583,3.1602791536497583,3.1602791536497583,3.1602791536497583,3.1602791536497583,3.1602791536497583;22/10/2018
sector 1;PMD;20180528;0;1;4057097.426909000147134;7715.126492999999755;sector 1;51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251,51.19496783029251;3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136,3.2202639702430136;22/10/2018
sector 6;RF;20180531;0;6;11210667.754679000005126;15076.788608999999269;sector 6;51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109;3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908;22/10/2018
sector 8;PMD;20180504;0;8;26529886.284102000296116;21876.775862999998935;sector 8;51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207,51.21100580903207;3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694,3.212100737182694;22/10/2018
sector 9;RF;20180529;0;9;1465261.789596999995410;7640.365179999999782;sector 9;51.323002987418974,51.323002987418974,51.323002987418974,51.323002987418974,51.323002987418974,51.323002987418974,51.323002987418974;3.1602791536497583,3.1602791536497583,3.1602791536497583,3.1602791536497583,3.1602791536497583,3.1602791536497583,3.1602791536497583;22/10/2018
sector 2;PMD;20180503;0;2;6480903.849452000111341;10124.473470000000816;sector 2;51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635,51.179471931652635;3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446,3.2728382955422446;22/10/2018
sector 6;GN;20180504;0;6;11210667.754679000005126;15076.788608999999269;sector 6;51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109,51.1597274247109;3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908,3.145786973624908;22/10/2018
